starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:28 2020	1595069068	0	13382	13382	13382
Sat Jul 18 13:44:29 2020	1595069069	0	13382	13382	13374
Sat Jul 18 13:44:42 2020	1595069082	0	13382	13382	13382
Sat Jul 18 13:44:42 2020	1595069082	0	13382	13382	13382
Sat Jul 18 13:44:30 2020	1595069070	0	13382	13382	13382
Sat Jul 18 13:44:27 2020	1595069067	0	13382	13383	13381
Sat Jul 18 13:44:41 2020	1595069081	0	13383	13383	13382
Sat Jul 18 13:44:27 2020	1595069067	0	13383	13383	13380
Sat Jul 18 13:44:41 2020	1595069081	0	13383	13383	13383
Sat Jul 18 13:44:26 2020	1595069066	0	13383	13383	13383
Sat Jul 18 13:44:40 2020	1595069080	0	13383	13383	13383
Sat Jul 18 13:44:33 2020	1595069073	0	13383	13383	13383
Sat Jul 18 13:44:28 2020	1595069068	0	13383	13383	13383
Sat Jul 18 13:44:35 2020	1595069075	0	13383	13384	13383
Sat Jul 18 13:44:40 2020	1595069080	0	13384	13384	13383
Sat Jul 18 13:44:42 2020	1595069082	0	13384	13384	13383
Sat Jul 18 13:44:40 2020	1595069080	0	13384	13384	13384
Sat Jul 18 13:44:22 2020	1595069062	0	13384	13384	13384
Sat Jul 18 13:44:40 2020	1595069080	0	13384	13384	13383
Sat Jul 18 13:44:42 2020	1595069082	0	13384	13384	13382
Sat Jul 18 13:44:35 2020	1595069075	0	13385	13385	13385
Sat Jul 18 13:44:29 2020	1595069069	0	13385	13385	13385
Sat Jul 18 13:44:42 2020	1595069082	0	13386	13386	13385
Sat Jul 18 13:44:42 2020	1595069082	0	13386	13386	13385
Sat Jul 18 13:44:34 2020	1595069074	0	13386	13386	13385
Sat Jul 18 13:44:39 2020	1595069079	0	13386	13386	13385
Sat Jul 18 13:44:35 2020	1595069075	0	13386	13386	13386
Sat Jul 18 13:44:34 2020	1595069074	0	13386	13386	13386
Sat Jul 18 13:44:29 2020	1595069069	0	13386	13386	13386
Sat Jul 18 13:44:42 2020	1595069082	0	13387	13387	13386
Sat Jul 18 13:44:38 2020	1595069078	0	13387	13387	13386
Sat Jul 18 13:44:39 2020	1595069079	0	13387	13387	13387
Sat Jul 18 13:44:38 2020	1595069078	0	13387	13387	13387
Sat Jul 18 13:44:29 2020	1595069069	0	13388	13388	13381
Sat Jul 18 13:44:42 2020	1595069082	0	13388	13388	13388
Sat Jul 18 13:44:28 2020	1595069068	0	13388	13388	13388
Sat Jul 18 13:44:28 2020	1595069068	0	13388	13388	13387
Sat Jul 18 13:44:28 2020	1595069068	0	13388	13389	13388
Sat Jul 18 13:44:35 2020	1595069075	0	13389	13389	13388
Sat Jul 18 13:44:39 2020	1595069079	0	13389	13389	13389
Sat Jul 18 13:44:02 2020	1595069042	21	13369	13389	13368
Sat Jul 18 13:44:41 2020	1595069081	0	13390	13390	13389
Sat Jul 18 13:44:28 2020	1595069068	0	13390	13390	13389
Sat Jul 18 13:44:34 2020	1595069074	0	13390	13390	13390
Sat Jul 18 13:44:39 2020	1595069079	0	13390	13390	13389
Sat Jul 18 13:44:42 2020	1595069082	0	13390	13390	13390
Sat Jul 18 13:44:34 2020	1595069074	0	13390	13390	13390
Sat Jul 18 13:44:22 2020	1595069062	0	13391	13391	13389
Sat Jul 18 13:44:38 2020	1595069078	0	13391	13391	13391
Sat Jul 18 13:44:40 2020	1595069080	0	13391	13391	13391
Sat Jul 18 13:44:22 2020	1595069062	0	13391	13391	13391
Sat Jul 18 13:44:22 2020	1595069062	0	13391	13392	13391
Sat Jul 18 13:44:37 2020	1595069077	0	13392	13392	13391
Sat Jul 18 13:44:40 2020	1595069080	0	13392	13392	13391
Sat Jul 18 13:44:30 2020	1595069070	0	13392	13392	13392
Sat Jul 18 13:44:41 2020	1595069081	0	13392	13392	13392
Sat Jul 18 13:44:28 2020	1595069068	0	13392	13392	13392
Sat Jul 18 13:44:39 2020	1595069079	0	13392	13392	13391
Sat Jul 18 13:44:27 2020	1595069067	0	13392	13392	13392
Sat Jul 18 13:44:33 2020	1595069073	0	13392	13392	13392
Sat Jul 18 13:44:35 2020	1595069075	0	13392	13392	13392
Sat Jul 18 13:44:41 2020	1595069081	0	13393	13393	13392
Sat Jul 18 13:44:41 2020	1595069081	0	13393	13393	13393
Sat Jul 18 13:44:42 2020	1595069082	0	13393	13393	13393
