starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	3	4	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	4	7	2
Sat Jul 18 14:08:04 2020	1595070484	1	7	7	5
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:04 2020	1595070484	0	7	7	5
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	3	5	7	2
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:04 2020	1595070484	0	7	7	5
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	6	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	6	7	3
Sat Jul 18 14:08:03 2020	1595070483	2	5	7	3
Sat Jul 18 14:08:04 2020	1595070484	0	7	7	6
Sat Jul 18 14:08:03 2020	1595070483	2	6	7	3
Sat Jul 18 14:08:04 2020	1595070484	0	7	7	6
Sat Jul 18 14:08:04 2020	1595070484	0	7	7	6
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	0	7	8	6
Sat Jul 18 14:08:03 2020	1595070483	2	6	8	4
